gm_Id,Id_W,L,VDS,gm_gds
2.279352591678944,341.8971471866274,4.5e-08,0.4,2.566322195864156
24.08977665631908,0.1984467176629257,4.5e-08,0.5,17.06565847466824
22.79553045752825,0.3324308352372569,4.5e-08,0.5,16.40710649841304
21.43769388394394,0.5407891500907274,4.5e-08,0.5,15.71339456529692
20.09475663789384,0.8538586696664825,4.5e-08,0.5,15.02998392352788
18.8411605403187,1.310037513559546,4.5e-08,0.5,14.40442716756134
17.7294152620353,1.958157953751436,4.5e-08,0.5,13.87521488732713
16.78015317525313,2.861260812342311,4.5e-08,0.5,13.4634179732439
15.98227811897701,4.101417219750446,4.5e-08,0.5,13.16960877863357
15.30053391915179,5.784536244850567,4.5e-08,0.5,12.97561448189624
14.68643463267571,8.043461141725397,4.5e-08,0.5,12.8492260637756
14.08960622497839,11.03717137968956,4.5e-08,0.5,12.75030597402769
13.46779907217739,14.94390658235134,4.5e-08,0.5,12.63747949684319
12.79414641173494,19.94707727914791,4.5e-08,0.5,12.47472480313491
12.06032731856696,26.21516996500197,4.5e-08,0.5,12.2367820026397
11.27508024383888,33.87974368241161,4.5e-08,0.5,11.91213025788765
10.45899122860724,43.01737354060401,4.5e-08,0.5,11.50284222597058
9.63771075270824,53.64059918781861,4.5e-08,0.5,11.02169207623215
8.835897425651822,65.69977468419468,4.5e-08,0.5,10.48777932734453
8.073300456758435,79.09399977219188,4.5e-08,0.5,9.922138050415054
7.363209195191537,93.68699580267683,4.5e-08,0.5,9.344372865148893
6.712688230490126,109.3235823733374,4.5e-08,0.5,8.770699445878494
6.123772884881891,125.8436946258781,4.5e-08,0.5,8.213241093317443
5.594944231232514,143.0925736607965,4.5e-08,0.5,7.68018763549013
5.12247668200905,160.9270946974922,4.5e-08,0.5,7.176408977899912
4.701489288484452,179.2189239631747,4.5e-08,0.5,6.704217134798635
4.326680472657003,197.8554167236611,4.5e-08,0.5,6.264093929709812
3.992795288420687,216.7390946059872,4.5e-08,0.5,5.855300060941363
3.694893667694235,235.7863481055595,4.5e-08,0.5,5.476343744143366
3.428482932728306,254.9258064734356,4.5e-08,0.5,5.125319637524457
3.189564121556376,274.096648972672,4.5e-08,0.5,4.80014154566197
2.9746273694711,293.2470099961056,4.5e-08,0.5,4.498694339430389
2.78061979373687,312.3325505622148,4.5e-08,0.5,4.218927537915006
2.604900652387391,331.3152200391222,4.5e-08,0.5,3.958908433122637
2.445192600692521,350.1622046752661,4.5e-08,0.5,3.716848140289691
2.299533993167678,368.8450458477655,4.5e-08,0.5,3.491110173687169
24.00998436856302,0.2258639665614524,4.5e-08,0.6,20.20642336876847
22.7029828664039,0.3776413500928886,4.5e-08,0.6,19.36873731659808
21.33406176524812,0.6130089127529593,4.5e-08,0.6,18.49326553082931
19.98203329577791,0.9655812498299552,4.5e-08,0.6,17.63818285684586
18.72089721769066,1.477649617779556,4.5e-08,0.6,16.86258215239357
17.60220606461293,2.202681363946288,4.5e-08,0.6,16.21290924073516
16.64562566696642,3.209295820929017,4.5e-08,0.6,15.71355361904081
15.83955677120153,4.586276204799246,4.5e-08,0.6,15.36403623702052
15.14893655696453,6.447424896192532,4.5e-08,0.6,15.14168985774314
14.52611981040858,8.93442825471436,4.5e-08,0.6,15.00737175890851
13.92195867321501,12.21544791090601,4.5e-08,0.6,14.91249147242853
13.29545262990364,16.47724867396754,4.5e-08,0.6,14.80668079163322
12.62066399017364,21.90987836334693,4.5e-08,0.6,14.64554124784068
11.88965989944378,28.68542246431743,4.5e-08,0.6,14.39725552784652
11.11098087683828,36.93530884550982,4.5e-08,0.6,14.04645385346439
10.30454643997399,46.7322718574541,4.5e-08,0.6,13.59431536856782
9.495082768486718,58.08201928015613,4.5e-08,0.6,13.05522667038764
8.7062844577312,70.92623041623341,4.5e-08,0.6,12.45150806406082
7.957058552241233,85.154701669708,4.5e-08,0.6,11.80804677496577
7.260056025800988,100.6222170547238,4.5e-08,0.6,11.14816273019564
6.621920070454691,117.1656726401763,4.5e-08,0.6,10.49119476996067
6.044452268093501,134.6184062352357,4.5e-08,0.6,9.8516277641441
5.526041227716098,152.8204486745505,4.5e-08,0.6,9.239273062571206
